id,song_id,alias,language,alias_type,normalized_alias,chosung_alias,source_url,source_name,verified_by,verification_note
alias_song_ja_0013_004,song_ja_0013,로쿠데나시,ko,artist,로쿠데나시,ㄹㅋㄷㄴㅅ,,user_input,manjak,Needs reliable song metadata source before production use
alias_song_ja_0013_005,song_ja_0013,ロクデナシ,ja,artist,ロクデナシ,,,user_input,manjak,Needs reliable song metadata source before production use
alias_song_ja_0013_006,song_ja_0013,Rokudenashi,ro,artist,rokudenashi,,,user_input,manjak,Needs reliable song metadata source before production use
alias_song_ja_0014_001,song_ja_0014,잿빛과 푸름,ko,display_title,잿빛과푸름,ㅈㅂㄱㅍㄹ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0014_002,song_ja_0014,쟃빛과 푸름,ko,alternate_spelling,쟃빛과푸름,ㅈㅂㄱㅍㄹ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0014_003,song_ja_0014,灰色と青,ja,canonical_title,灰色と青,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_004,song_ja_0014,Haiiro to Ao,ro,romanized_title,haiirotoao,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_005,song_ja_0014,Gray and Blue,en,english_title,grayandblue,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_006,song_ja_0014,요네즈 켄시,ko,artist,요네즈켄시,ㅇㄴㅈㅋㅅ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0014_007,song_ja_0014,스다 마사키,ko,artist,스다마사키,ㅅㄷㅁㅅㅋ,,user_input,manjak,Staging metadata source; review before production use
alias_song_ja_0014_008,song_ja_0014,米津玄師,ja,artist,米津玄師,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_009,song_ja_0014,菅田将暉,ja,artist,菅田将暉,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_010,song_ja_0014,Kenshi Yonezu,ro,artist,kenshiyonezu,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
alias_song_ja_0014_011,song_ja_0014,Masaki Suda,ro,artist,masakisuda,,https://zh.wikipedia.org/wiki/%E7%81%B0%E8%89%B2%E4%B8%8E%E9%9D%92,Wikipedia,manjak,Staging metadata source; review before production use
